QuadTailsitter_NonNacelle
T1-45.0 m/s-TriUniform-ThinSurf-x0.3m-ViscOTF-333
Freestream speed = 45.000 m/s


 Ctrl        α (°)        β (°)        φ (°)        CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF (N)    Fy_FF (N)    Fz_FF (N)    Fx_sum (N)   Fy_sum (N)   Fz_sum (N)   Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)    
          0            5            0            0      0.37314     0.034098     0.025605    0.0084925  -3.4551e-09    -0.023767    0.0024736     -0.02624   5.9012e-08  -6.0731e-09  -1.2259e-09  -4.8472e-09       10.943       6.6847       1.6371       29.194       2.6677      -1.8825  -2.7032e-07        29.14    -0.042388    0.0041986        20.43            0      0.56353    0.0041801       44.813       4.7674           45       5.2212   2.0992e-06     -0.13008  -3.2148e-08      0.34324  -4.1436e-09   -0.0033539      0.80252       187.07       120.05       1.6031      0.12807       0.3379            0            0            0            0            0            0            0            0            4        0.333            0  
          0            6            0            0      0.44714     0.038472     0.026284     0.012188  -3.9924e-09    -0.028422    0.0030147    -0.031437   5.8688e-08   2.1102e-06   2.1163e-06  -6.0769e-09       11.622       7.7716       1.4955       34.983         3.01      -2.7083  -3.1235e-07       34.891    -0.062433    0.0059253       24.474            0      0.56353    0.0041801       44.834       4.1007           45       4.9177   2.0918e-06     -0.15556   7.4624e-05      0.34302  -3.4471e-09   -0.0031022      0.96529       160.91       135.45       1.6039      0.15338      0.33788            0            0            0            0            0            0            0            0            4        0.333            0  
          0            7            0            0      0.52078     0.043563     0.027033      0.01653  -4.5253e-09    -0.033067    0.0035281    -0.036595   5.8301e-08   2.5491e-08   3.2782e-08  -7.2914e-09       11.955       8.6273       1.3857       40.745       3.4082       -3.682  -3.5405e-07       40.599    -0.085798    0.0075295       28.491            0      0.56353    0.0041801       44.843        3.694           45       4.7815   2.0831e-06     -0.18098   1.1489e-06      0.34282  -2.9491e-09   -0.0029708       1.1271       144.95       153.37       1.6043      0.17854      0.33786            0            0            0            0            0            0            0            0            4        0.333            0  
          0            8            0            0      0.59403     0.049125     0.027622     0.021503  -5.0531e-09    -0.037846    0.0038619    -0.041708   5.7852e-08  -4.3065e-05  -4.3057e-05  -8.4878e-09       12.092       9.3199       1.2975       46.476       3.8434      -4.8022  -3.9534e-07       46.257     -0.11245    0.0090091       32.476            0      0.56353    0.0041801       44.847       3.4195           45       4.7275    2.073e-06     -0.20714   -0.0015117      0.34262  -2.5752e-09   -0.0029148       1.2876       134.18       172.95       1.6046      0.20353      0.33784            0            0            0            0            0            0            0            0            4        0.333            0  
          0            9            0            0      0.66682     0.055561     0.028468     0.027093  -5.5752e-09    -0.042131    0.0046391     -0.04677   5.7342e-08   2.4624e-06    2.472e-06  -9.6636e-09       12.001       9.8003       1.2246        52.17        4.347      -6.0676  -4.3619e-07       51.859     -0.14237     0.010362       36.424            0      0.56353    0.0041801       44.845       3.2519           45       4.7631   2.0615e-06      -0.2306   8.6543e-05      0.34243  -2.2839e-09   -0.0029094       1.4468        127.6       195.61       1.6047      0.22834      0.33782            0            0            0            0            0            0            0            0            4        0.333            0  
          0           10            0            0      0.73909     0.062243     0.028959     0.033284   -6.091e-09    -0.046781    0.0049946    -0.051775   5.6771e-08  -6.9585e-05  -6.9574e-05  -1.0816e-08       11.874       10.208       1.1632       57.825       4.8697      -7.4767  -4.7654e-07       57.398      -0.1755     0.011588       40.331            0      0.56353    0.0041801       44.841       3.1219           45       4.8138   2.0487e-06     -0.25604   -0.0024292      0.34223  -2.0505e-09   -0.0029397       1.6044        122.5       219.14       1.6047      0.25294      0.33779            0            0            0            0            0            0            0            0            4        0.333            0  
          0           11            0            0       0.8108     0.069893     0.029838     0.040055  -6.5998e-09    -0.051001     0.005717    -0.056717   5.6141e-08   2.3018e-06   2.3137e-06  -1.1943e-08       11.601       10.446       1.1106       63.435       5.4683      -9.0277  -5.1635e-07       62.867     -0.21182     0.012683       44.191            0      0.56353    0.0041801       44.834       3.0509           45       4.9269   2.0346e-06     -0.27914   8.0486e-05      0.34203  -1.8591e-09   -0.0029963       1.7602       119.72       246.07       1.6048      0.27732      0.33775            0            0            0            0            0            0            0            0            4        0.333            0  
          0           12            0            0      0.88189     0.077946      0.03056     0.047387   -7.101e-09    -0.055333    0.0062568     -0.06159   5.5454e-08    1.354e-06    1.367e-06  -1.3041e-08       11.314       10.625       1.0649       68.997       6.0984      -10.719  -5.5556e-07        68.26     -0.25128     0.013648       48.001            0      0.56353    0.0041801       44.825       2.9995           45        5.051   2.0192e-06     -0.30285   4.7363e-05      0.34183  -1.6993e-09   -0.0030728        1.914        117.7       274.43       1.6048      0.30146      0.33772            0            0            0            0            0            0            0            0            4        0.333            0  
          0           13            0            0      0.95231     0.086532     0.031276     0.055256  -7.5939e-09    -0.059599    0.0067889    -0.066388   5.4712e-08  -1.3314e-08   7.9452e-10  -1.4108e-08       11.005        10.74       1.0247       74.506       6.7701      -12.548  -5.9413e-07       73.569     -0.29382     0.014481       51.754            0      0.56353    0.0041801       44.815       2.9674           45        5.192   2.0025e-06      -0.3262   -2.358e-08      0.34162  -1.5638e-09   -0.0031651       2.0657       116.44       304.65       1.6048      0.32533      0.33768            0            0            0            0            0            0            0            0            4        0.333            0  
          0           14            0            0        1.022     0.095669      0.03203     0.063639  -8.0781e-09    -0.063795    0.0073094    -0.071104   5.3915e-08   3.8199e-07   3.9713e-07  -1.5143e-08       10.683         10.8      0.98918       79.959       7.4849      -14.513  -6.3201e-07       78.789     -0.33941     0.015181       55.448            0      0.56353    0.0041801       44.804        2.951           45       5.3478   1.9846e-06     -0.34917   1.3603e-05      0.34141  -1.4473e-09     -0.00327        2.215        115.8       336.82       1.6048      0.34892      0.33763            0            0            0            0            0            0            0            0            4        0.333            0  
          0           15            0            0       1.0909       0.1072     0.034686      0.07251  -8.5529e-09    -0.067583    0.0081516    -0.075734   5.3065e-08  -0.00022537  -0.00022536  -1.6142e-08       10.177        10.63      0.95742       85.352       8.3868      -16.611  -6.6916e-07       83.912     -0.38797     0.015748       59.076            0      0.56353    0.0041801       44.784       2.9981           45       5.6119   1.9654e-06      -0.3699   -0.0077176      0.34119   -1.346e-09   -0.0033855       2.3618       117.65       377.41       1.6049      0.37222      0.33759            0            0            0            0            0            0            0            0            4        0.333            0  
          0           16            0            0       1.1591       0.1238     0.041957     0.081841  -9.0177e-09    -0.071742    0.0085302    -0.080272   5.2165e-08  -0.00015138  -0.00015137  -1.7103e-08       9.3624        10.08      0.92886       90.682       9.6857       -18.84  -7.0552e-07       88.934     -0.43946     0.016179       62.635            0      0.56353    0.0041801       44.745       3.1618           45       6.0966    1.945e-06     -0.39266   -0.0051587      0.34097  -1.2571e-09   -0.0035098       2.5059       124.07       435.86        1.605       0.3952      0.33754            0            0            0            0            0            0            0            0            4        0.333            0  
