         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
        8.29      0.6255      0.5137      0.1512      0.1837       0.002       0.062       0.046       1.482       0.007       0.206      14.344          0.06     13640.      0.2585
        9.21      0.6950      0.5539      0.1518      0.1903       0.002       0.065       0.046       1.535       0.007       0.207      13.921          0.06     13747.      0.2514
       10.14      0.7646      0.5896      0.1523      0.1974       0.002       0.067       0.047       1.593       0.008       0.207      13.473          0.06     13864.      0.2435
       11.06      0.8340      0.6209      0.1525      0.2048       0.003       0.070       0.046       1.652       0.008       0.208      13.009          0.06     13990.      0.2351
       11.98      0.9036      0.6482      0.1520      0.2121       0.003       0.073       0.046       1.711       0.008       0.207      12.537          0.06     14127.      0.2262
       12.90      0.9730      0.6716      0.1507      0.2187       0.003       0.074       0.046       1.764       0.009       0.206      12.067          0.06     14272.      0.2166
       13.82      1.0425      0.6920      0.1481      0.2237       0.003       0.076       0.045       1.804       0.009       0.202      11.609          0.06     14426.      0.2066
       14.75      1.1120      0.7101      0.1440      0.2262       0.003       0.077       0.044       1.825       0.009       0.196      11.171          0.06     14590.      0.1960
       15.67      1.1816      0.7265      0.1381      0.2255       0.003       0.077       0.042       1.820       0.009       0.188      10.760          0.06     14762.      0.1849
       16.59      1.2511      0.7412      0.1307      0.2214       0.003       0.075       0.040       1.787       0.009       0.178      10.370          0.06     14942.      0.1733
       17.51      1.3205      0.7539      0.1220      0.2144       0.003       0.073       0.037       1.729       0.009       0.166       9.994          0.06     15131.      0.1613
       18.42      1.3901      0.7634      0.1120      0.2047       0.003       0.070       0.035       1.652       0.008       0.152       9.616          0.06     15326.      0.1489
       19.35      1.4596      0.7690      0.1013      0.1930       0.002       0.066       0.031       1.557       0.007       0.138       9.224          0.06     15529.      0.1358
       20.27      1.5291      0.7688      0.0898      0.1794       0.002       0.061       0.028       1.447       0.007       0.122       8.803          0.06     15738.      0.1220
