         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       30.86      0.7759      0.6351      0.1548      0.1891       0.056       0.580       0.426      41.192       0.066       1.897       4.769          0.17     41652.      0.2606
       33.66      0.8464      0.6671      0.1550      0.1968       0.058       0.604       0.427      42.872       0.068       1.899       4.593          0.17     42042.      0.2510
       36.47      0.9169      0.6945      0.1545      0.2043       0.060       0.627       0.425      44.520       0.071       1.893       4.415          0.17     42462.      0.2409
       39.27      0.9874      0.7179      0.1531      0.2112       0.062       0.647       0.421      45.997       0.073       1.876       4.240          0.17     42910.      0.2301
       42.08      1.0580      0.7381      0.1503      0.2162       0.064       0.663       0.414      47.102       0.075       1.842       4.069          0.17     43386.      0.2188
       44.88      1.1285      0.7560      0.1459      0.2186       0.064       0.671       0.402      47.617       0.076       1.787       3.909          0.17     43890.      0.2069
       47.69      1.1991      0.7723      0.1396      0.2176       0.064       0.667       0.385      47.396       0.075       1.710       3.760          0.18     44420.      0.1947
       50.50      1.2696      0.7873      0.1316      0.2131       0.062       0.654       0.362      46.427       0.074       1.612       3.620          0.18     44976.      0.1821
       53.30      1.3401      0.8007      0.1223      0.2056       0.060       0.631       0.337      44.788       0.072       1.498       3.489          0.18     45556.      0.1691
       56.11      1.4107      0.8117      0.1119      0.1955       0.057       0.600       0.308      42.575       0.068       1.371       3.360          0.18     46157.      0.1558
       58.91      1.4812      0.8195      0.1008      0.1830       0.053       0.561       0.278      39.873       0.063       1.236       3.231          0.18     46780.      0.1422
       61.72      1.5517      0.8230      0.0891      0.1686       0.050       0.517       0.245      36.749       0.059       1.091       3.097          0.18     47422.      0.1282
       64.53      1.6222      0.8203      0.0769      0.1527       0.044       0.468       0.212      33.257       0.053       0.942       2.953          0.18     48083.      0.1135
       67.33      1.6928      0.8089      0.0643      0.1351       0.040       0.414       0.177      29.440       0.047       0.788       2.790          0.19     48762.      0.0981
       70.13      1.7633      0.7840      0.0515      0.1163       0.034       0.356       0.142      25.337       0.040       0.631       2.595          0.20     49457.      0.0817
       72.94      1.8338      0.7370      0.0386      0.0963       0.029       0.295       0.107      20.986       0.034       0.473       2.343          0.20     50168.      0.0639
       75.75      1.9044      0.6487      0.0256      0.0754       0.022       0.232       0.071      16.427       0.026       0.314       1.982          0.20     50895.      0.0441
       78.55      1.9749      0.4688      0.0128      0.0537       0.016       0.164       0.035      11.700       0.019       0.157       1.377          0.20     51637.      0.0215
       81.35      2.0455      0.0038      0.0001      0.0315       0.009       0.097       0.000       6.857       0.011       0.001       0.010          0.20     52393.      0.0000



         PROP RPM =       7000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1498      0.1489       0.069       0.623       0.561      51.529       0.071       2.498       5.057          0.19     45808.      0.3178
        3.28      0.0707      0.0709      0.1493      0.1488       0.069       0.621       0.560      51.490       0.070       2.490       5.037          0.19     45908.      0.3160
        6.55      0.1412      0.1411      0.1492      0.1492       0.070       0.623       0.559      51.624       0.071       2.486       5.008          0.19     46033.      0.3140
        9.84      0.2119      0.2101      0.1491      0.1502       0.070       0.627       0.559      51.977       0.071       2.487       4.966          0.19     46186.      0.3114
       13.11      0.2826      0.2772      0.1494      0.1520       0.071       0.635       0.560      52.587       0.072       2.492       4.912          0.20     46370.      0.3083
       16.39      0.3532      0.3418      0.1499      0.1546       0.072       0.645       0.562      53.485       0.073       2.500       4.841          0.20     46585.      0.3043
       19.66      0.4238      0.4031      0.1507      0.1581       0.073       0.660       0.565      54.692       0.075       2.513       4.755          0.20     46834.      0.2996
       22.95      0.4945      0.4603      0.1515      0.1625       0.076       0.679       0.569      56.216       0.076       2.528       4.652          0.20     47118.      0.2939
       26.22      0.5651      0.5129      0.1526      0.1678       0.077       0.701       0.573      58.054       0.079       2.545       4.534          0.20     47436.      0.2873
       29.50      0.6358      0.5604      0.1536      0.1739       0.081       0.726       0.575      60.187       0.082       2.561       4.402          0.20     47790.      0.2798
       32.77      0.7064      0.6028      0.1544      0.1809       0.084       0.756       0.579      62.575       0.085       2.576       4.261          0.20     48178.      0.2715
       36.05      0.7770      0.6399      0.1551      0.1884       0.087       0.787       0.581      65.159       0.089       2.587       4.112          0.20     48601.      0.2624
       39.34      0.8477      0.6719      0.1553      0.1961       0.091       0.819       0.583      67.840       0.092       2.591       3.959          0.20     49058.      0.2528
       42.61      0.9183      0.6993      0.1549      0.2037       0.095       0.851       0.581      70.475       0.096       2.583       3.805          0.20     49548.      0.2424
       45.89      0.9889      0.7227      0.1535      0.2106       0.098       0.879       0.576      72.835       0.099       2.559       3.653          0.21     50072.      0.2316
       49.16      1.0595      0.7429      0.1507      0.2157       0.100       0.901       0.565      74.604       0.102       2.513       3.506          0.21     50629.      0.2202
       52.45      1.1302      0.7608      0.1462      0.2180       0.102       0.911       0.548      75.430       0.103       2.438       3.366          0.21     51218.      0.2082
       55.72      1.2008      0.7771      0.1399      0.2171       0.101       0.907       0.524      75.080       0.103       2.332       3.238          0.21     51838.      0.1958
       59.00      1.2715      0.7922      0.1318      0.2125       0.099       0.888       0.494      73.536       0.101       2.199       3.117          0.21     52490.      0.1831
       62.27      1.3422      0.8056      0.1225      0.2051       0.096       0.857       0.460      70.921       0.097       2.043       3.004          0.21     53167.      0.1701
       65.55      1.4128      0.8169      0.1121      0.1948       0.090       0.814       0.420      67.387       0.092       1.870       2.894          0.21     53871.      0.1568
       68.83      1.4834      0.8250      0.1009      0.1823       0.085       0.762       0.379      63.069       0.086       1.683       2.784          0.21     54600.      0.1431
       72.11      1.5540      0.8290      0.0892      0.1678       0.077       0.701       0.335      58.074       0.079       1.486       2.670          0.21     55350.      0.1290
       75.39      1.6247      0.8272      0.0769      0.1517       0.071       0.634       0.288      52.485       0.072       1.283       2.548          0.22     56124.      0.1143
       78.67      1.6953      0.8169      0.0644      0.1341       0.062       0.560       0.241      46.374       0.063       1.073       2.412          0.22     56917.      0.0990
       81.94      1.7660      0.7936      0.0515      0.1150       0.053       0.481       0.193      39.802       0.054       0.859       2.248          0.23     57730.      0.0826
       85.22      1.8366      0.7487      0.0386      0.0949       0.044       0.396       0.145      32.830       0.044       0.643       2.038          0.23     58562.      0.0648
       88.50      1.9072      0.6629      0.0256      0.0738       0.035       0.308       0.096      25.521       0.035       0.427       1.735          0.23     59412.      0.0449
       91.78      1.9779      0.4843      0.0127      0.0519       0.024       0.217       0.048      17.947       0.025       0.212       1.219          0.23     60280.      0.0222
       95.06      2.0485      0.0010      0.0000      0.0294       0.013       0.123       0.000      10.183       0.014       0.000       0.003          0.23     61164.      0.0000



         PROP RPM =       8000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1499      0.1482       0.102       0.809       0.734      76.566       0.091       3.265       4.449          0.22     52352.      0.3196
        3.75      0.0707      0.0713      0.1494      0.1482       0.103       0.808       0.732      76.507       0.091       3.255       4.431          0.22     52466.      0.3179
        7.50      0.1415      0.1420      0.1492      0.1485       0.103       0.810       0.730      76.707       0.091       3.250       4.405          0.22     52610.      0.3158
       11.25      0.2122      0.2114      0.1492      0.1496       0.104       0.816       0.731      77.233       0.092       3.251       4.370          0.22     52784.      0.3133
       15.00      0.2828      0.2790      0.1496      0.1514       0.105       0.826       0.732      78.144       0.093       3.257       4.322          0.22     52994.      0.3101
       18.75      0.3536      0.3440      0.1501      0.1539       0.106       0.840       0.735      79.487       0.095       3.269       4.260          0.22     53241.      0.3061
       22.50      0.4243      0.4057      0.1508      0.1574       0.109       0.859       0.738      81.293       0.097       3.285       4.183          0.22     53526.      0.3014
       26.25      0.4950      0.4632      0.1517      0.1618       0.112       0.883       0.743      83.576       0.100       3.306       4.092          0.23     53851.      0.2956
       30.00      0.5657      0.5161      0.1528      0.1672       0.116       0.913       0.748      86.328       0.103       3.328       3.988          0.23     54216.      0.2890
       33.75      0.6364      0.5638      0.1538      0.1734       0.120       0.946       0.753      89.523       0.107       3.350       3.873          0.23     54620.      0.2814
       37.50      0.7071      0.6063      0.1547      0.1804       0.124       0.984       0.758      93.103       0.111       3.370       3.747          0.23     55065.      0.2731
       41.25      0.7778      0.6436      0.1553      0.1878       0.130       1.024       0.761      96.977       0.116       3.385       3.616          0.23     55550.      0.2640
       45.00      0.8485      0.6757      0.1557      0.1956       0.136       1.067       0.762     101.003       0.120       3.390       3.481          0.23     56073.      0.2541
       48.75      0.9193      0.7031      0.1552      0.2032       0.141       1.109       0.760     104.959       0.126       3.381       3.344          0.23     56634.      0.2437
       52.50      0.9900      0.7265      0.1538      0.2102       0.146       1.147       0.753     108.509       0.130       3.350       3.210          0.23     57234.      0.2328
       56.25      1.0607      0.7467      0.1510      0.2153       0.149       1.175       0.740     111.177       0.133       3.290       3.079          0.23     57872.      0.2213
       60.00      1.1314      0.7645      0.1466      0.2177       0.151       1.188       0.718     112.431       0.134       3.191       2.958          0.23     58546.      0.2092
       63.75      1.2022      0.7809      0.1402      0.2167       0.150       1.183       0.686     111.924       0.134       3.053       2.844          0.23     59257.      0.1968
       67.50      1.2729      0.7959      0.1321      0.2122       0.147       1.159       0.647     109.624       0.131       2.878       2.739          0.24     60002.      0.1840
       71.25      1.3436      0.8095      0.1228      0.2047       0.142       1.117       0.601     105.712       0.126       2.675       2.639          0.24     60778.      0.1709
       75.00      1.4143      0.8210      0.1124      0.1945       0.135       1.061       0.550     100.416       0.120       2.447       2.543          0.24     61584.      0.1576
       78.75      1.4850      0.8295      0.1011      0.1820       0.126       0.992       0.495      93.939       0.113       2.203       2.446          0.24     62418.      0.1439
       82.50      1.5557      0.8339      0.0893      0.1674       0.116       0.913       0.438      86.438       0.103       1.946       2.348          0.25     63278.      0.1298
       86.25      1.6264      0.8329      0.0771      0.1511       0.104       0.825       0.377      78.041       0.093       1.678       2.243          0.25     64163.      0.1151
       90.00      1.6971      0.8236      0.0645      0.1333       0.092       0.728       0.315      68.853       0.082       1.403       2.125          0.25     65072.      0.0998
       93.75      1.7678      0.8017      0.0516      0.1142       0.080       0.623       0.253      58.966       0.070       1.123       1.986          0.26     66002.      0.0834
       97.50      1.8386      0.7588      0.0386      0.0939       0.065       0.512       0.189      48.474       0.058       0.841       1.805          0.26     66955.      0.0656
      101.25      1.9093      0.6755      0.0256      0.0726       0.050       0.396       0.126      37.471       0.045       0.558       1.546          0.26     67928.      0.0457
      105.00      1.9800      0.4989      0.0127      0.0505       0.035       0.275       0.062      26.066       0.031       0.277       1.097          0.26     68921.      0.0229
      108.75      2.0507      0.0017      0.0000      0.0278       0.019       0.152       0.000      14.377       0.018       0.001       0.004          0.27     69933.      0.0000



         PROP RPM =       9000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1499      0.1478       0.146       1.020       0.929     108.647       0.115       4.134       3.971          0.25     58895.      0.3210
        4.22      0.0708      0.0718      0.1495      0.1477       0.146       1.020       0.927     108.560       0.116       4.122       3.955          0.25     59024.      0.3193
        8.45      0.1416      0.1427      0.1493      0.1481       0.146       1.022       0.925     108.841       0.116       4.116       3.933          0.25     59186.      0.3172
       12.67      0.2123      0.2126      0.1493      0.1491       0.147       1.029       0.925     109.589       0.117       4.117       3.901          0.25     59382.      0.3147
       16.89      0.2832      0.2804      0.1497      0.1509       0.149       1.042       0.927     110.887       0.118       4.126       3.858          0.25     59620.      0.3115
       21.12      0.3539      0.3458      0.1502      0.1534       0.151       1.060       0.931     112.802       0.120       4.141       3.803          0.25     59898.      0.3076
       25.34      0.4247      0.4078      0.1510      0.1569       0.155       1.083       0.936     115.377       0.122       4.162       3.734          0.25     60219.      0.3028
       29.56      0.4955      0.4656      0.1520      0.1613       0.160       1.114       0.942     118.635       0.126       4.188       3.653          0.25     60585.      0.2970
       33.78      0.5663      0.5187      0.1530      0.1667       0.164       1.151       0.948     122.565       0.130       4.216       3.559          0.26     60996.      0.2903
       38.01      0.6371      0.5666      0.1540      0.1729       0.170       1.194       0.954     127.129       0.135       4.245       3.455          0.26     61452.      0.2828
       42.23      0.7078      0.6093      0.1549      0.1799       0.177       1.242       0.960     132.246       0.141       4.271       3.344          0.26     61953.      0.2743
       46.45      0.7787      0.6466      0.1557      0.1874       0.185       1.294       0.964     137.787       0.147       4.290       3.226          0.26     62498.      0.2652
       50.67      0.8494      0.6787      0.1559      0.1952       0.193       1.348       0.966     143.549       0.152       4.298       3.105          0.26     63088.      0.2553
       54.89      0.9202      0.7063      0.1555      0.2030       0.200       1.401       0.964     149.219       0.159       4.287       2.983          0.26     63722.      0.2449
       59.12      0.9909      0.7296      0.1541      0.2098       0.207       1.449       0.955     154.312       0.164       4.248       2.862          0.27     64398.      0.2339
       63.34      1.0617      0.7498      0.1513      0.2151       0.212       1.486       0.938     158.153       0.168       4.172       2.747          0.27     65116.      0.2223
       67.56      1.1325      0.7676      0.1469      0.2176       0.214       1.502       0.910     159.978       0.170       4.048       2.637          0.27     65876.      0.2102
       71.78      1.2033      0.7840      0.1405      0.2167       0.213       1.496       0.871     159.283       0.169       3.874       2.535          0.27     66677.      0.1976
       76.01      1.2740      0.7992      0.1325      0.2122       0.209       1.466       0.821     156.019       0.166       3.652       2.442          0.27     67516.      0.1848
       80.23      1.3449      0.8128      0.1230      0.2046       0.202       1.413       0.762     150.440       0.160       3.393       2.353          0.28     68392.      0.1717
       84.45      1.4156      0.8243      0.1127      0.1944       0.192       1.342       0.698     142.873       0.151       3.105       2.268          0.28     69300.      0.1583
       88.68      1.4864      0.8332      0.1013      0.1817       0.179       1.255       0.628     133.603       0.142       2.795       2.183          0.28     70240.      0.1446
       92.91      1.5572      0.8381      0.0895      0.1671       0.165       1.154       0.554     122.860       0.130       2.468       2.096          0.28     71208.      0.1304
       97.12      1.6280      0.8376      0.0772      0.1507       0.148       1.041       0.478     110.825       0.118       2.128       2.003          0.28     72206.      0.1158
      101.34      1.6987      0.8293      0.0645      0.1328       0.131       0.917       0.400      97.648       0.104       1.779       1.900          0.29     73229.      0.1004
      105.57      1.7696      0.8087      0.0517      0.1136       0.112       0.784       0.320      83.463       0.088       1.424       1.778          0.29     74278.      0.0840
      109.79      1.8403      0.7674      0.0387      0.0930       0.091       0.643       0.239      68.403       0.073       1.066       1.621          0.29     75352.      0.0663
      114.02      1.9112      0.6863      0.0256      0.0716       0.071       0.494       0.159      52.605       0.056       0.707       1.395          0.29     76448.      0.0464
      118.23      1.9819      0.5111      0.0127      0.0493       0.049       0.341       0.079      36.226       0.038       0.350       0.998          0.30     77567.      0.0234
      122.47      2.0527     -0.0009      0.0000      0.0265       0.026       0.182       0.000      19.438       0.020      -0.001      -0.002          0.30     78706.      0.0000



         PROP RPM =      10000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1500      0.1474       0.200       1.256       1.148     148.668       0.142       5.106       3.585          0.28     65439.      0.3221
        4.70      0.0708      0.0720      0.1496      0.1473       0.200       1.256       1.144     148.543       0.142       5.091       3.572          0.28     65582.      0.3204
        9.39      0.1417      0.1432      0.1493      0.1477       0.200       1.259       1.143     148.924       0.143       5.084       3.551          0.28     65762.      0.3184
       14.09      0.2125      0.2133      0.1494      0.1487       0.202       1.267       1.143     149.945       0.143       5.085       3.522          0.28     65981.      0.3158
       18.79      0.2833      0.2815      0.1497      0.1505       0.204       1.282       1.146     151.723       0.145       5.097       3.484          0.28     66244.      0.3127
       23.48      0.3542      0.3472      0.1503      0.1531       0.207       1.304       1.151     154.349       0.148       5.115       3.434          0.28     66554.      0.3087
       28.17      0.4250      0.4093      0.1512      0.1566       0.212       1.335       1.156     157.887       0.151       5.143       3.372          0.28     66912.      0.3039
       32.87      0.4959      0.4674      0.1520      0.1609       0.218       1.373       1.163     162.361       0.155       5.175       3.298          0.28     67318.      0.2982
       37.56      0.5666      0.5207      0.1531      0.1663       0.225       1.418       1.171     167.764       0.160       5.211       3.214          0.28     67776.      0.2914
       42.25      0.6375      0.5689      0.1542      0.1726       0.233       1.471       1.179     174.041       0.166       5.248       3.120          0.28     68283.      0.2838
       46.95      0.7084      0.6116      0.1552      0.1795       0.242       1.530       1.187     181.084       0.173       5.280       3.019          0.29     68840.      0.2754
       51.64      0.7792      0.6490      0.1558      0.1871       0.253       1.595       1.192     188.716       0.180       5.304       2.912          0.29     69448.      0.2662
       56.34      0.8499      0.6813      0.1562      0.1950       0.264       1.663       1.195     196.661       0.188       5.315       2.803          0.29     70104.      0.2563
       61.04      0.9209      0.7087      0.1557      0.2027       0.275       1.728       1.192     204.488       0.196       5.302       2.692          0.29     70808.      0.2458
       65.73      0.9917      0.7322      0.1544      0.2097       0.283       1.788       1.181     211.536       0.202       5.256       2.584          0.29     71560.      0.2348
       70.43      1.0625      0.7523      0.1517      0.2151       0.291       1.833       1.161     216.875       0.207       5.163       2.478          0.29     72359.      0.2231
       75.12      1.1333      0.7702      0.1472      0.2176       0.294       1.855       1.127     219.450       0.209       5.011       2.380          0.29     73205.      0.2109
       79.82      1.2042      0.7865      0.1409      0.2167       0.293       1.848       1.079     218.555       0.208       4.796       2.288          0.29     74096.      0.1984
       84.51      1.2750      0.8017      0.1328      0.2123       0.287       1.810       1.016     214.109       0.204       4.522       2.203          0.30     75030.      0.1855
       89.21      1.3458      0.8155      0.1235      0.2047       0.277       1.745       0.945     206.459       0.197       4.201       2.123          0.30     76002.      0.1724
       93.91      1.4166      0.8272      0.1130      0.1944       0.263       1.657       0.864     196.053       0.187       3.845       2.046          0.30     77014.      0.1590
       98.60      1.4875      0.8362      0.1017      0.1817       0.245       1.550       0.778     183.285       0.175       3.460       1.970          0.31     78059.      0.1452
      103.30      1.5583      0.8416      0.0897      0.1671       0.226       1.424       0.687     168.471       0.161       3.055       1.893          0.31     79137.      0.1310
      108.00      1.6291      0.8417      0.0774      0.1506       0.204       1.284       0.593     151.862       0.145       2.635       1.811          0.31     80246.      0.1164
      112.69      1.7000      0.8342      0.0647      0.1326       0.179       1.130       0.495     133.663       0.128       2.203       1.719          0.32     81386.      0.1011
      117.38      1.7708      0.8148      0.0518      0.1131       0.153       0.964       0.396     114.062       0.109       1.764       1.611          0.32     82552.      0.0848
      122.07      1.8417      0.7752      0.0388      0.0925       0.125       0.788       0.296      93.242       0.089       1.319       1.474          0.32     83746.      0.0670
      126.77      1.9125      0.6964      0.0257      0.0708       0.096       0.603       0.197      71.394       0.068       0.875       1.272          0.33     84966.      0.0471
      131.47      1.9833      0.5232      0.0128      0.0484       0.066       0.412       0.098      48.736       0.046       0.433       0.919          0.33     86210.      0.0240
      136.16      2.0541     -0.0004      0.0000      0.0253       0.034       0.216       0.000      25.510       0.024      -0.001      -0.001          0.33     87478.      0.0000



         PROP RPM =      11000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1500      0.1472       0.265       1.518       1.389     197.542       0.171       6.181       3.267          0.31     71982.      0.3229
        5.17      0.0709      0.0722      0.1497      0.1471       0.265       1.517       1.385     197.365       0.171       6.163       3.254          0.31     72140.      0.3213
       10.34      0.1417      0.1436      0.1494      0.1474       0.266       1.520       1.384     197.863       0.171       6.155       3.236          0.31     72338.      0.3192
       15.51      0.2126      0.2140      0.1495      0.1484       0.267       1.530       1.385     199.215       0.173       6.157       3.210          0.31     72579.      0.3167
       20.67      0.2835      0.2824      0.1498      0.1502       0.270       1.549       1.387     201.577       0.175       6.171       3.175          0.31     72869.      0.3135
       25.84      0.3544      0.3483      0.1505      0.1528       0.275       1.576       1.393     205.070       0.178       6.194       3.130          0.31     73210.      0.3096
       31.01      0.4253      0.4107      0.1512      0.1563       0.281       1.612       1.400     209.778       0.182       6.227       3.074          0.31     73604.      0.3048
       36.17      0.4961      0.4689      0.1522      0.1607       0.289       1.658       1.409     215.740       0.187       6.268       3.006          0.31     74052.      0.2991
       41.34      0.5670      0.5224      0.1532      0.1661       0.298       1.713       1.418     222.942       0.194       6.312       2.929          0.31     74555.      0.2923
       46.51      0.6379      0.5706      0.1543      0.1723       0.310       1.777       1.429     231.316       0.201       6.357       2.844          0.31     75114.      0.2848
       51.68      0.7087      0.6135      0.1553      0.1793       0.323       1.849       1.438     240.719       0.209       6.397       2.752          0.32     75727.      0.2762
       56.84      0.7796      0.6510      0.1561      0.1870       0.337       1.928       1.445     250.918       0.217       6.427       2.654          0.32     76396.      0.2671
       62.02      0.8505      0.6833      0.1564      0.1948       0.351       2.010       1.448     261.546       0.227       6.441       2.554          0.32     77118.      0.2571
       67.18      0.9214      0.7108      0.1561      0.2026       0.364       2.091       1.445     272.034       0.236       6.427       2.454          0.32     77894.      0.2466
       72.35      0.9923      0.7343      0.1547      0.2097       0.378       2.163       1.433     281.506       0.244       6.373       2.354          0.32     78722.      0.2355
       77.52      1.0631      0.7544      0.1521      0.2150       0.387       2.219       1.408     288.716       0.251       6.262       2.258          0.33     79602.      0.2238
       82.69      1.1340      0.7723      0.1476      0.2177       0.392       2.246       1.367     292.257       0.254       6.080       2.168          0.33     80533.      0.2117
       87.85      1.2048      0.7887      0.1413      0.2169       0.391       2.237       1.308     291.159       0.253       5.819       2.084          0.33     81514.      0.1991
       93.02      1.2757      0.8038      0.1333      0.2125       0.383       2.192       1.234     285.302       0.247       5.489       2.007          0.33     82542.      0.1861
       98.19      1.3466      0.8176      0.1239      0.2049       0.369       2.114       1.147     275.135       0.239       5.101       1.934          0.34     83614.      0.1730
      103.36      1.4175      0.8296      0.1134      0.1946       0.350       2.007       1.050     261.257       0.227       4.668       1.865          0.34     84727.      0.1596
      108.53      1.4884      0.8390      0.1021      0.1820       0.328       1.877       0.945     244.198       0.212       4.202       1.796          0.34     85878.      0.1458
      113.70      1.5592      0.8447      0.0901      0.1672       0.300       1.724       0.834     224.381       0.195       3.710       1.726          0.34     87066.      0.1316
      118.86      1.6300      0.8454      0.0777      0.1506       0.271       1.553       0.720     202.141       0.175       3.200       1.652          0.34     88287.      0.1170
      124.03      1.7010      0.8386      0.0649      0.1325       0.239       1.366       0.601     177.756       0.154       2.675       1.571          0.35     89541.      0.1018
      129.19      1.7719      0.8202      0.0520      0.1128       0.204       1.164       0.482     151.475       0.132       2.141       1.474          0.35     90826.      0.0854
      134.37      1.8427      0.7822      0.0389      0.0920       0.166       0.949       0.360     123.545       0.107       1.603       1.350          0.35     92140.      0.0677
      139.53      1.9135      0.7055      0.0258      0.0702       0.127       0.724       0.239      94.226       0.082       1.063       1.171          0.35     93483.      0.0479
      144.70      1.9844      0.5345      0.0128      0.0475       0.085       0.491       0.118      63.809       0.055       0.526       0.854          0.36     94854.      0.0245
      149.87      2.0553      0.0002      0.0000      0.0243       0.043       0.251       0.000      32.623       0.028       0.001       0.001          0.36     96250.      0.0000



         PROP RPM =      12000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1502      0.1470       0.344       1.804       1.655     256.195       0.204       7.358       2.999          0.33     78526.      0.3235
        5.64      0.0709      0.0723      0.1497      0.1469       0.344       1.803       1.650     255.952       0.204       7.338       2.988          0.33     78698.      0.3218
       11.28      0.1418      0.1440      0.1495      0.1472       0.345       1.808       1.647     256.585       0.204       7.328       2.971          0.33     78914.      0.3198
       16.93      0.2127      0.2145      0.1496      0.1482       0.346       1.820       1.648     258.327       0.206       7.331       2.948          0.33     79177.      0.3174
       22.56      0.2836      0.2831      0.1499      0.1499       0.351       1.841       1.652     261.382       0.208       7.348       2.916          0.33     79494.      0.3143
       28.20      0.3546      0.3490      0.1506      0.1526       0.357       1.873       1.658     265.911       0.211       7.376       2.875          0.34     79866.      0.3104
       33.84      0.4254      0.4117      0.1513      0.1561       0.365       1.916       1.667     272.022       0.216       7.417       2.823          0.34     80296.      0.3055
       39.48      0.4963      0.4700      0.1523      0.1605       0.376       1.970       1.678     279.765       0.223       7.465       2.761          0.34     80784.      0.2998
       45.12      0.5673      0.5236      0.1534      0.1659       0.388       2.036       1.690     289.127       0.230       7.518       2.691          0.34     81334.      0.2930
       50.77      0.6381      0.5720      0.1545      0.1721       0.402       2.113       1.702     300.020       0.239       7.572       2.612          0.34     81944.      0.2854
       56.40      0.7090      0.6150      0.1556      0.1792       0.419       2.200       1.714     312.263       0.248       7.622       2.527          0.34     82614.      0.2770
       62.04      0.7800      0.6525      0.1562      0.1868       0.436       2.293       1.722     325.555       0.259       7.660       2.438          0.34     83344.      0.2677
       67.68      0.8508      0.6849      0.1567      0.1948       0.455       2.390       1.726     339.424       0.270       7.678       2.346          0.34     84132.      0.2579
       73.32      0.9218      0.7126      0.1563      0.2026       0.474       2.487       1.723     353.137       0.281       7.663       2.253          0.34     84979.      0.2473
       78.97      0.9927      0.7360      0.1551      0.2097       0.490       2.575       1.709     365.559       0.290       7.601       2.162          0.35     85883.      0.2362
       84.61      1.0635      0.7561      0.1525      0.2152       0.503       2.642       1.679     375.076       0.298       7.471       2.074          0.35     86844.      0.2245
       90.24      1.1344      0.7740      0.1481      0.2180       0.509       2.675       1.631     379.842       0.302       7.256       1.991          0.35     87860.      0.2124
       95.88      1.2053      0.7903      0.1417      0.2172       0.507       2.667       1.562     378.567       0.301       6.948       1.914          0.35     88932.      0.1998
      101.52      1.2763      0.8056      0.1338      0.2129       0.497       2.614       1.474     371.060       0.295       6.555       1.843          0.36     90054.      0.1869
      107.16      1.3472      0.8196      0.1243      0.2053       0.480       2.521       1.370     357.898       0.285       6.092       1.776          0.36     91224.      0.1736
      112.81      1.4181      0.8316      0.1138      0.1950       0.456       2.393       1.254     339.858       0.271       5.576       1.712          0.36     92440.      0.1602
      118.44      1.4890      0.8412      0.1024      0.1822       0.426       2.237       1.128     317.635       0.253       5.021       1.650          0.37     93696.      0.1464
      124.08      1.5599      0.8473      0.0905      0.1674       0.391       2.056       0.997     291.779       0.233       4.434       1.587          0.37     94992.      0.1323
